"""Developing an Inventory and Ordering System  for Cindy’s Bakeshop""                                                                                                  ",,,,,,,,,,,,,,,,,,,,
PBI ITEM NO.,TEST SCENARIO ID,TEST CASE ID,PREREQUISITE,TEST DESCRIPTION,MODULE,USER ROLE,TEST STEPS,TEST DATA USED,EXPECTED RESULT,ACTUAL RESULT,STATUS,NO. OF DEV REWORKS,REMARKS,TESTER,DATE STARTED TESTING,ACTUAL MAN-HOURS (TESTING),DATE COMPLETED TESTING,BROWSER USED,SCREENSHOT,
30,1_TS00030,1_TS00001_TC030,User logged in,Verify toggling order status notifications,Profile Management,User,"1. Go to Settings
2. Enable/Disable order notifications",Notification toggle,Notifications are enabled/disabled as per selection,,Pass,,,,,,,,,
31,1_TS00031,1_TS00001_TC031,User logged in,Verify toggling promotions notifications,Profile Management,User,"1. Go to Settings
2. Enable/Disable promotion notifications",Notification toggle,Promotion alerts enabled/disabled as per selection,,Pass,,,,,,,,,
32,1_TS00032,1_TS00001_TC032,User logged in,Verify toggling feedback notifications,Profile Management,User,"1. Go to Settings
2. Enable/Disable feedback notifications",Notification toggle,Feedback reminders enabled/disabled as per selection,,Pass,,,,,,,,,
33,1_TS00033,1_TS00001_TC033,"User logged in, product exists",Verify sharing product link,Product Catalog,User,"1. Open Product page
2. Click Share
3. Copy link",Product ID,Product link copied to clipboard,,Pass,,,,,,,,,
34,1_TS00034,1_TS00001_TC034,Admin logged in,Verify managing product complaints,Feedback Management,Admin,"1. Go to Complaints Dashboard
2. View complaints
3. Delete unwanted complaint",Product rating entry,Ratings list displayed and review deleted successfully,,Pass,,,,,,,,,
35,1_TS00035,1_TS00001_TC035,Admin logged in,Verify viewing notifications,Notifications,Admin,"1. Go to Notifications page
2. Review messages and timestamps",Notification data,Notifications are listed with message and timestamp,,Pass,,,,,,,,,
36,1_TS00036, 1_TS00001_TC036,Products exist in catalog,Verify product search with filters,Inventory Management,User,"1. Enter product name in search bar
2. Apply filters
3. Search again",Product name + filters,System lists relevant products based on search and filters,,Pass,,,,,,,,,
37,1_TS00037, 1_TS00001_TC037,Admin logged in,Verify searching users by name or email,Access Control,Admin,"1. Open User Dashboard
2. Enter name/email in search bar
3. Click Search",Username or email,User list filtered by input criteria,,Pass,,,,,,,,,
38,1_TS00038,1_TS00001_TC038,Admin logged in,Verify searching orders by order ID,Order Management,Admin,"1. Open Orders page
2. Enter order ID in search bar
3. Click Search",Order ID,Orders filtered and displayed by entered ID ,,Pass,,,,,,,,,
39,1_TS00039,1_TS00001_TC039,Admin logged in,Verify filtering orders by status & date,Order Management,Admin,"1. Open Orders page
2. Apply status filter
3. Apply date range filter",Status + date range,Orders displayed as per selected filters,,Pass,,,,,,,,,
40,1_TS00040,1_TS00001_TC040,Orders exist,Verify exporting orders to PDF,Reporting,Admin,"1. Open Orders page
2. Click “Export to PDF”",Order list,Orders exported into downloadable PDF file,,Pass,,,,,,,,,
41,1_TS00041,1_TS00001_TC041,Inventory data exists,Verify exporting inventory report to PDF,Reporting,Admin,"1. Open Inventory Report page
2. Click “Export to PDF",Inventory report data,Inventory report exported into PDF file,,Pass,,,,,,,,,
42,1_TS00042,1_TS00001_TC042,Products exist in catalog,Verify searching products by name,Product Catalog,User,"1. Open Category Page
2. Enter product name in search bar
3. Click Search",Product name,Products matching search name are displayed,,Pass,,,,,,,,,
43,1_TS00043,1_TS00001_TC043,Products exist in catalog,Verify viewing product details,Product Catalog,User,"1. Open Product Catalog
2. Select a product
3. View details",Product ID,"Product page displays name, price, stock, and description",,Pass,,,,,,,,,
44,1_TS00044,1_TS00001_TC044,Product available,Verify adjusting product quantity before purchase,Ordering,User,"1. Open Product page
2. Adjust quantity using + / - buttons
3. Add to Car",Product ID + quantity,System updates quantity and adds correct amount to cart,,Pass,,,,,,,,,
,1_TS00045,1_TS00001_TC045,,,,,,,,,,,,,,,,,,
