Functionality Matrix Reference,Application Requirements / Use Case,Module,Requirement Description,Source Code / Path,Unit/Module Test Case ID,Release Details,UAT Status,Defect ID,Defect Status,Remarks,,,,,,,,,
FM-019,Order Notifications,Notifications,System must send SMS/email updates for order status,PHP\notification_functions.php | PHP\notification_api.php | PHP\email_functions.php,TC-U109,Release v1.0,Pending,N/A,Open,"Priority: Medium, Severity: Minor, TS-U06: Check notification flow, TC Desc: Get notified of new orders, updates",,,,,,,,,
FM-020,Password Recovery,Authentication,User must recover password via email,userSide\LOGIN_SIGNUP\forgot_password.html | PHP\firebase_config.php,TC-U110,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Major, TS-U07: Validate the forgot password process, TC Desc: Request password reset link and reset successfully",,,,,,,,,
FM-021,First Product Return,Returns,User can submit one return request with valid reason,userSide\PURCHASES\MyPurchase.php | PHP\order_cancellation_functions.php | PHP\blacklist_functions.php | PHP\blacklist_api.php,TC-U111,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Major, TS-U08: Validate the conditional return process, TC Desc: Submit a return request with a valid reason and approve it",,,,,,,,,
FM-022,Block Subsequent Returns,Returns,System must block second return attempt and blacklist user,userSide\PURCHASES\MyPurchase.php | PHP\order_cancellation_functions.php | PHP\blacklist_functions.php | PHP\blacklist_api.php,TC-U112,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Major, TS-U08: Validate the conditional return process, TC Desc: Attempt second return system blocks request and adds user to blacklist",,,,,,,,,
FM-023,Prevent Blacklisted Returns,Returns,System must reject future return requests from blacklisted users,userSide\PURCHASES\MyPurchase.php | PHP\order_cancellation_functions.php | PHP\blacklist_functions.php | PHP\blacklist_api.php,TC-U113,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Major, TS-U08: Validate the conditional return process, TC Desc: Confirm that blacklisted user cannot submit future return requests",,,,,,,,,
FM-024,Notify Blacklisting,Notifications,System must notify admin and user of blacklist status,userSide\PURCHASES\MyPurchase.php | PHP\order_cancellation_functions.php | PHP\blacklist_functions.php | PHP\blacklist_api.php,TC-U114,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Major, TS-U08: Validate the conditional return process, TC Desc: Notify admin and user about blacklisting status",,,,,,,,,
FM-025,User Logout,Authentication,User must be able to log out of their account,userSide\LOGIN_SIGNUP\logout.html | PHP\firebase_config.php,TC-U115,Release v1.0,Pending,N/A,Open,"Priority: Medium, Severity: Major, TS-U09: Validate logout process, TC Desc: Log out and verify session termination",,,,,,,,,
FM-026,User Registration - Face Capture,Authentication,System must require face capture during user registration,userSide\LOGIN_SIGNUP\signup.html | PHP\register_user.php | PHP\firebase_config.php,TC-U116,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Critical, TS-U01: Test registration flow, TC Desc: Attempt to register without capturing face image",,,,,,,,,
FM-027,Edit User Profile,Profile Management,User must update personal information,userSide\PROFILE\EditProfile.php | PHP\user_api.php,TC-U117,Release v1.0,Pending,N/A,Open,"Priority: Medium, Severity: Minor, TS-U10: Validate profile update, TC Desc: Modify user details and save changes",,,,,,,,,
FM-028,Manage Cart Items,Ordering,User must add or remove products in cart,userSide\PRODUCT\js\cart.js | PHP\cart_api.php | PHP\cart_functions.php | PHP\cart_item_functions.php,TC-U118,Release v1.0,Pending,N/A,Open,"Priority: Medium, Severity: Major, TS-U11: Validate cart operations, TC Desc: Add and remove items in the shopping cart",,,,,,,,,
FM-029,View Favorite Products,Wishlist,System must display the user's favorite items,userSide\\FAVORITE\\my favorite.php | PHP\\favorite_api.php | PHP\\favorite_functions.php,TC-U119,Release v1.0,Pending,N/A,Open,"Priority: Medium, Severity: Minor, TS-U12: Validate favorites listing, TC Desc: View favorite items for logged-in user",,,,,,,,,
FM-030,Add or Remove Favorite Product,Wishlist,User must add or remove a product from favorites,userSide\\PRODUCT\\product.php | PHP\\favorite_api.php | PHP\\favorite_functions.php,TC-U120,Release v1.0,Pending,N/A,Open,"Priority: Medium, Severity: Major, TS-U13: Validate favorite toggling, TC Desc: Add and remove product from favorites",,,,,,,,,
FM-031,Download Order Invoice,Ordering,System must provide a downloadable PDF invoice for an order,userSide\\INVOICE\\orderDetails.php | PHP\\order_api.php | PHP\\order_functions.php | PHP\\order_item_functions.php,TC-U121,Release v1.0,Pending,N/A,Open,"Priority: Low, Severity: Minor, TS-U14: Validate invoice download, TC Desc: Generate and download PDF invoice",,,,,,,,,
FM-032,Update User Settings,Profile Management,User must update language theme and notification settings,userSide\\PROFILE\\Settings.php | PHP\\user_functions.php | PHP\\db_connect.php,TC-U122,Release v1.0,Pending,N/A,Open,"Priority: Low, Severity: Minor, TS-U15: Validate settings update, TC Desc: Modify preferences and save",,,,,,,,,
FM-033,Share Product Link,Product Catalog,System must allow sharing product URL via clipboard,userSide\\PRODUCT\\product.php,TC-U123,Release v1.0,Pending,N/A,Open,"Priority: Low, Severity: Trivial, TS-U16: Validate product sharing, TC Desc: Copy product link to clipboard",,,,,,,,,
FM-034,Manage Product Ratings,Feedback Management,Admin must view and delete product ratings,adminSide\\dashboard\\Ratings.php | PHP\\product_ratings_functions.php | PHP\\db_connect.php,TC-A111,Release v1.0,Not Executed,N/A,Open,"Priority: Medium, Severity: Minor, TS-A06: Manage product ratings, TC Desc: View ratings list and delete entry",,,,,,,,,
